CustomerID,ProductStockCode,ProductDescription,RecommendationScore,Rank,AveragePrice,ProductCategory
12346.0,47566,PARTY BUNTING,0.41623089993096035,1,4.65,PARTY
12346.0,23167,SMALL CERAMIC TOP STORAGE JAR ,0.1877477405282451,2,0.69,SMALL
12346.0,22720,SET OF 3 CAKE TINS PANTRY DESIGN ,0.1738311476914045,3,4.95,SET
12346.0,23173,REGENCY TEAPOT ROSES ,0.15251922822498284,4,8.15,REGENCY
12346.0,23174,REGENCY SUGAR BOWL GREEN,0.14035511799845046,5,4.15,REGENCY
12347.0,POST,POSTAGE,52.982237303934106,1,18.0,POSTAGE
12347.0,21175,GIN + TONIC DIET METAL SIGN,43.39396290514144,2,2.1,GIN
12347.0,23284,DOORMAT KEEP CALM AND COME IN,36.08289094175447,3,6.75,DOORMAT
12347.0,23423,PANTRY 3 HOOK ROLLING PIN HANGER,31.695668841443005,4,3.75,PANTRY
12347.0,23314,VINTAGE CHRISTMAS TABLECLOTH,27.686136827950826,5,12.5,VINTAGE
12348.0,22423,REGENCY CAKESTAND 3 TIER,92.04750823667504,1,10.95,REGENCY
12348.0,23254,CHILDRENS CUTLERY DOLLY GIRL ,34.84273768642213,2,4.15,CHILDRENS
12348.0,23256,CHILDRENS CUTLERY SPACEBOY ,34.84273768642213,3,4.15,CHILDRENS
12348.0,84997C,BLUE 3 PIECE POLKADOT CUTLERY SET,34.84273768642213,4,3.75,BLUE
12348.0,84997D,PINK 3 PIECE POLKADOT CUTLERY SET,34.84273768642213,5,3.75,PINK
12349.0,84406B,CREAM CUPID HEARTS COAT HANGER,51.853947528028876,1,2.75,CREAM
12349.0,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,50.99337264092417,2,2.55,PAPER
12349.0,22178,VICTORIAN GLASS HANGING T-LIGHT,49.58809171849026,3,1.25,VICTORIAN
12349.0,23203,JUMBO BAG DOILEY PATTERNS,41.594594154165605,4,2.08,JUMBO
12349.0,23202,JUMBO BAG VINTAGE LEAF,41.594594154165605,5,2.08,JUMBO
12350.0,84030E,ENGLISH ROSE HOT WATER BOTTLE,48.11201133334517,1,3.75,ENGLISH
12350.0,23237,SET OF 4 KNICK KNACK TINS LEAVES ,46.341091064221764,2,4.15,SET
12350.0,22692,DOORMAT WELCOME TO OUR HOME,36.678333345891375,3,7.95,DOORMAT
12350.0,22667,RECIPE BOX RETROSPOT ,35.62527221743326,4,2.95,RECIPE
12350.0,22960,JAM MAKING SET WITH JARS,33.02414046094645,5,4.25,JAM
12352.0,82486,WOOD S/3 CABINET ANT WHITE FINISH,28.28650573820831,1,6.95,WOOD
12352.0,82483,WOOD 2 DRAWER CABINET WHITE FINISH,21.965498869334947,2,4.95,WOOD
12352.0,84946,ANTIQUE SILVER TEA GLASS ETCHED,20.598055825667355,3,1.25,ANTIQUE
12352.0,22741,FUNKY DIVA PEN,16.11856751562708,4,0.85,FUNKY
12352.0,82482,WOODEN PICTURE FRAME WHITE FINISH,13.037076667051316,5,2.1,WOODEN
12353.0,47566,PARTY BUNTING,142.8250639035628,1,4.65,PARTY
12353.0,22720,SET OF 3 CAKE TINS PANTRY DESIGN ,126.99223529018329,2,4.95,SET
12353.0,21181,PLEASE ONE PERSON METAL SIGN,111.13972525907195,3,2.1,PLEASE
12353.0,21137,BLACK RECORD COVER FRAME,110.28159071807734,4,3.39,BLACK
12353.0,21165,BEWARE OF THE CAT METAL SIGN ,103.0605787637492,5,1.69,BEWARE
12354.0,22570,FELTCRAFT CUSHION RABBIT,775.7876818711867,1,3.75,FELTCRAFT
12354.0,22569,FELTCRAFT CUSHION BUTTERFLY,656.435730814081,2,3.75,FELTCRAFT
12354.0,20712,JUMBO BAG WOODLAND ANIMALS,431.4059542408374,3,1.95,JUMBO
12354.0,22568,FELTCRAFT CUSHION OWL,358.0558531713169,4,3.75,FELTCRAFT
12354.0,84997C,BLUE 3 PIECE POLKADOT CUTLERY SET,312.00258990333884,5,3.75,BLUE
12355.0,23254,CHILDRENS CUTLERY DOLLY GIRL ,31.57541212436111,1,4.15,CHILDRENS
12355.0,23256,CHILDRENS CUTLERY SPACEBOY ,31.57541212436111,2,4.15,CHILDRENS
12355.0,84997C,BLUE 3 PIECE POLKADOT CUTLERY SET,31.57541212436111,3,3.75,BLUE
12355.0,84997D,PINK 3 PIECE POLKADOT CUTLERY SET,31.57541212436111,4,3.75,PINK
12355.0,71477,COLOUR GLASS. STAR T-LIGHT HOLDER,27.384766499999472,5,3.25,COLOUR
12356.0,21232,STRAWBERRY CERAMIC TRINKET BOX,87.3422699405887,1,1.25,STRAWBERRY
12356.0,21733,RED HANGING HEART T-LIGHT HOLDER,51.01509100352322,2,2.55,RED
12356.0,72351B,SET/6 PINK  BUTTERFLY T-LIGHTS,42.17783114464518,3,2.1,SET/6
12356.0,21745,GAOLERS KEYS DECORATIVE GARDEN ,41.33427452175228,4,3.75,GAOLERS
12356.0,22644,CERAMIC CHERRY CAKE MONEY BANK,41.16772497011945,5,1.45,CERAMIC
12357.0,22112,CHOCOLATE HOT WATER BOTTLE,69.17107407414751,1,4.95,CHOCOLATE
12357.0,23296,SET OF 6 TEA TIME BAKING CASES,59.869183993147374,2,1.04,SET
12357.0,22114,HOT WATER BOTTLE TEA AND SYMPATHY,45.32622393772916,3,3.45,HOT
12357.0,POST,POSTAGE,43.17489230275051,4,18.0,POSTAGE
12357.0,22835,HOT WATER BOTTLE I AM SO POORLY,42.38500894292866,5,4.65,HOT
12358.0,85014A,BLACK/BLUE POLKADOT UMBRELLA,192.081160115987,1,5.95,BLACK/BLUE
12358.0,85014B,RED RETROSPOT UMBRELLA,192.081160115987,2,5.95,RED
12358.0,71477,COLOUR GLASS. STAR T-LIGHT HOLDER,133.00411040723654,3,3.25,COLOUR
12358.0,21231,SWEETHEART CERAMIC TRINKET BOX,37.473884287598565,4,1.25,SWEETHEART
12358.0,23310,BUBBLEGUM RING ASSORTED,26.761809630752474,5,0.42,BUBBLEGUM
12359.0,POST,POSTAGE,77.03543625797604,1,18.0,POSTAGE
12359.0,21175,GIN + TONIC DIET METAL SIGN,67.96764774333066,2,2.1,GIN
12359.0,23314,VINTAGE CHRISTMAS TABLECLOTH,45.04399586755855,3,12.5,VINTAGE
12359.0,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,36.75590062792777,4,2.55,ROTATING
12359.0,22768,FAMILY PHOTO FRAME CORNICE,34.35862797789008,5,9.95,FAMILY
12360.0,84078A,SET/4 WHITE RETRO STORAGE CUBES ,26.39241981227908,1,34.95,SET/4
12360.0,21787,RAIN PONCHO RETROSPOT,18.117727752836657,2,0.85,RAIN
12360.0,22631,CIRCUS PARADE LUNCH BOX ,12.474511266545935,3,1.95,CIRCUS
12360.0,22629,SPACEBOY LUNCH BOX ,12.474511266545935,4,1.95,SPACEBOY
12360.0,21175,GIN + TONIC DIET METAL SIGN,10.591881789542066,5,2.1,GIN
12361.0,22383,LUNCH BAG SUKI  DESIGN ,79.35569308431728,1,1.65,LUNCH
12361.0,22662,LUNCH BAG DOLLY GIRL DESIGN,73.36685886959503,2,1.65,LUNCH
12361.0,20728,LUNCH BAG CARS BLUE,45.673922971631555,3,1.65,LUNCH
12361.0,22384,LUNCH BAG PINK POLKADOT,26.314574579840198,4,1.65,LUNCH
12361.0,23206,LUNCH BAG APPLE DESIGN,25.19728454803962,5,1.65,LUNCH
12362.0,23328,SET 6 SCHOOL MILK BOTTLES IN CRATE,55.64797475334918,1,3.75,SET
12362.0,22570,FELTCRAFT CUSHION RABBIT,36.861639754488145,2,3.75,FELTCRAFT
12362.0,22844,VINTAGE CREAM DOG FOOD CONTAINER,31.30128726927808,3,8.5,VINTAGE
12362.0,22077,6 RIBBONS RUSTIC CHARM,31.17441533522426,4,1.65,6
12362.0,22569,FELTCRAFT CUSHION BUTTERFLY,29.84037503934755,5,3.75,FELTCRAFT
12363.0,23078,ICE CREAM PEN LIP GLOSS ,64.26132789411405,1,1.25,ICE
12363.0,22741,FUNKY DIVA PEN,52.43724356159706,2,0.85,FUNKY
12363.0,22693,GROW A FLYTRAP OR SUNFLOWER IN TIN,38.55679673646843,3,1.25,GROW
12363.0,23328,SET 6 SCHOOL MILK BOTTLES IN CRATE,35.49152605505336,4,3.75,SET
12363.0,22423,REGENCY CAKESTAND 3 TIER,34.14504482509547,5,10.95,REGENCY
12364.0,84997D,PINK 3 PIECE POLKADOT CUTLERY SET,97.07576090830143,1,3.75,PINK
12364.0,84997A,GREEN 3 PIECE POLKADOT CUTLERY SET,79.9780672098632,2,3.75,GREEN
12364.0,84997C,BLUE 3 PIECE POLKADOT CUTLERY SET,59.841927944533836,3,3.75,BLUE
12364.0,84997B,RED 3 PIECE RETROSPOT CUTLERY SET,59.841927944533836,4,3.75,RED
12364.0,84375,SET OF 20 KIDS COOKIE CUTTERS,54.85755796818452,5,2.1,SET
12365.0,85123A,WHITE HANGING HEART T-LIGHT HOLDER,99.04627371596426,1,2.55,WHITE
12365.0,21733,RED HANGING HEART T-LIGHT HOLDER,59.29868858802267,2,2.55,RED
12365.0,84879,ASSORTED COLOUR BIRD ORNAMENT,45.809130889057286,3,1.69,ASSORTED
12365.0,22804,CANDLEHOLDER PINK HANGING HEART,35.40277225388806,4,2.95,CANDLEHOLDER
12365.0,21055,TOOL BOX SOFT TOY ,26.95540574997125,5,8.95,TOOL
12367.0,23008,DOLLY GIRL BABY GIFT SET,102.03510497508086,1,14.95,DOLLY
12367.0,23007, SPACEBOY BABY GIFT SET,47.81895985509275,2,14.95,SPACEBOY
12367.0,23010,CIRCUS PARADE BABY GIFT SET,47.81895985509275,3,14.95,CIRCUS
12367.0,84078A,SET/4 WHITE RETRO STORAGE CUBES ,44.96906091476369,4,34.95,SET/4
12367.0,84997D,PINK 3 PIECE POLKADOT CUTLERY SET,44.24719808219285,5,3.75,PINK
12370.0,22634,CHILDS BREAKFAST SET SPACEBOY ,27.1068743243801,1,9.95,CHILDS
12370.0,23284,DOORMAT KEEP CALM AND COME IN,22.12921048759274,2,6.75,DOORMAT
12370.0,22499,WOODEN UNION JACK BUNTING,20.986736494625596,3,5.95,WOODEN
12370.0,22741,FUNKY DIVA PEN,19.7119298065709,4,0.85,FUNKY
12370.0,48138,DOORMAT UNION FLAG,16.220793348754633,5,7.95,DOORMAT
12371.0,22791,T-LIGHT GLASS FLUTED ANTIQUE,89.61282320326583,1,1.25,T-LIGHT
12371.0,21326,AGED GLASS SILVER T-LIGHT HOLDER,49.5273896624809,2,0.65,AGED
