CustomerID,TotalSpending,TotalOrders,TotalItems,AvgOrderValue,Cluster,Segment
12346.0,77183.6,1,74215,77183.6,3,High Value Frequent
12347.0,4310.0,7,2458,615.7142857142857,0,Regular Shoppers
12348.0,1797.24,4,2341,449.31,0,Regular Shoppers
12349.0,1757.55,1,631,1757.55,0,Regular Shoppers
12350.0,334.4,1,197,334.4,0,Regular Shoppers
12352.0,2506.04,8,536,313.255,0,Regular Shoppers
12353.0,89.0,1,20,89.0,0,Regular Shoppers
12354.0,1079.4,1,530,1079.4,0,Regular Shoppers
12355.0,459.4,1,240,459.4,0,Regular Shoppers
12356.0,2811.43,3,1591,937.1433333333333,0,Regular Shoppers
12357.0,6207.67,1,2708,6207.67,0,Regular Shoppers
12358.0,1168.06,2,248,584.03,0,Regular Shoppers
12359.0,6372.58,4,1622,1593.145,0,Regular Shoppers
12360.0,2662.06,3,1165,887.3533333333334,0,Regular Shoppers
12361.0,189.9,1,91,189.9,0,Regular Shoppers
12362.0,5226.23,10,2229,522.6229999999999,0,Regular Shoppers
12363.0,552.0,2,408,276.0,0,Regular Shoppers
12364.0,1313.1,4,1506,328.275,0,Regular Shoppers
12365.0,641.38,2,174,320.69,0,Regular Shoppers
12367.0,168.9,1,173,168.9,0,Regular Shoppers
12370.0,3545.69,4,2353,886.4225,0,Regular Shoppers
12371.0,1887.96,2,591,943.98,0,Regular Shoppers
12372.0,1298.04,3,794,432.68,0,Regular Shoppers
12373.0,364.6,1,197,364.6,0,Regular Shoppers
12374.0,742.9300000000001,1,342,742.9300000000001,0,Regular Shoppers
12375.0,457.5,2,178,228.75,0,Regular Shoppers
12377.0,1628.12,2,944,814.06,0,Regular Shoppers
12378.0,4008.62,1,2529,4008.62,0,Regular Shoppers
12379.0,852.24,2,407,426.12,0,Regular Shoppers
12380.0,2724.81,4,1127,681.2025,0,Regular Shoppers
12381.0,1845.31,5,808,369.062,0,Regular Shoppers
12383.0,1850.56,5,1532,370.11199999999997,0,Regular Shoppers
12384.0,585.27,2,126,292.635,0,Regular Shoppers
12386.0,401.9,2,354,200.95,0,Regular Shoppers
12388.0,2780.66,6,1462,463.4433333333333,0,Regular Shoppers
12390.0,549.84,1,353,549.84,0,Regular Shoppers
12391.0,460.89,1,300,460.89,0,Regular Shoppers
12393.0,1582.6000000000001,4,816,395.65000000000003,0,Regular Shoppers
12394.0,1272.48,2,819,636.24,0,Regular Shoppers
12395.0,3018.63,12,2118,251.5525,0,Regular Shoppers
12397.0,2409.9,2,1263,1204.95,0,Regular Shoppers
12398.0,1635.6599999999999,1,1394,1635.6599999999999,0,Regular Shoppers
12399.0,1108.65,4,1178,277.1625,0,Regular Shoppers
12401.0,84.3,1,11,84.3,0,Regular Shoppers
12402.0,225.6,1,94,225.6,0,Regular Shoppers
12403.0,427.7,1,96,427.7,0,Regular Shoppers
12405.0,1710.39,1,857,1710.39,0,Regular Shoppers
12406.0,3415.3,2,1818,1707.65,0,Regular Shoppers
12407.0,1708.1200000000001,5,1416,341.624,0,Regular Shoppers
12408.0,2888.55,5,1409,577.71,0,Regular Shoppers
12409.0,11072.67,3,5551,3690.89,0,Regular Shoppers
12410.0,693.3299999999999,2,211,346.66499999999996,0,Regular Shoppers
12412.0,1226.88,3,829,408.96000000000004,0,Regular Shoppers
12413.0,758.1,3,286,252.70000000000002,0,Regular Shoppers
12414.0,562.41,3,300,187.47,0,Regular Shoppers
12415.0,124914.53,21,77374,5948.310952380953,2,High Value Frequent
12417.0,3649.1,9,1552,405.4555555555555,0,Regular Shoppers
12418.0,668.58,1,407,668.58,0,Regular Shoppers
12420.0,600.39,1,345,600.39,0,Regular Shoppers
12421.0,807.04,4,484,201.76,0,Regular Shoppers
12422.0,803.5600000000001,3,370,267.85333333333335,0,Regular Shoppers
12423.0,1859.31,8,1339,232.41375,0,Regular Shoppers
12424.0,1760.96,2,740,880.48,0,Regular Shoppers
12425.0,777.2,1,496,777.2,0,Regular Shoppers
12426.0,582.73,1,258,582.73,0,Regular Shoppers
12427.0,825.8,3,533,275.26666666666665,0,Regular Shoppers
12428.0,7956.46,9,3536,884.0511111111111,0,Regular Shoppers
12429.0,3750.4,4,1557,937.6,0,Regular Shoppers
12430.0,256.4,1,117,256.4,0,Regular Shoppers
12431.0,6487.45,15,2906,432.49666666666667,3,High Value Frequent
12432.0,5059.32,5,1801,1011.8639999999999,0,Regular Shoppers
12433.0,13375.87,7,11071,1910.8385714285716,0,Regular Shoppers
12434.0,806.14,2,394,403.07,0,Regular Shoppers
12435.0,7829.89,2,2055,3914.945,0,Regular Shoppers
12436.0,509.01,1,211,509.01,0,Regular Shoppers
12437.0,4951.41,18,2922,275.0783333333333,3,High Value Frequent
12438.0,2906.85,2,1180,1453.425,0,Regular Shoppers
12441.0,173.55,1,121,173.55,0,Regular Shoppers
12442.0,172.06,1,182,172.06,0,Regular Shoppers
12444.0,5005.46,5,1153,1001.092,0,Regular Shoppers
12445.0,133.4,1,62,133.4,0,Regular Shoppers
12446.0,1002.3100000000001,1,351,1002.3100000000001,0,Regular Shoppers
12447.0,476.49,1,190,476.49,0,Regular Shoppers
12448.0,449.45,1,243,449.45,0,Regular Shoppers
12449.0,4067.29,4,1553,1016.8225,0,Regular Shoppers
12450.0,197.88,2,128,98.94,0,Regular Shoppers
12451.0,9035.52,5,6575,1807.104,0,Regular Shoppers
12452.0,430.57,2,185,215.285,0,Regular Shoppers
12453.0,707.09,1,473,707.09,0,Regular Shoppers
12454.0,3528.34,1,1006,3528.34,0,Regular Shoppers
12455.0,2466.86,6,2089,411.1433333333334,0,Regular Shoppers
12456.0,3181.04,3,1633,1060.3466666666666,0,Regular Shoppers
12457.0,2363.23,7,843,337.6042857142857,0,Regular Shoppers
